Id,Label,Owner,Role,Longitude,Latitude,ref
294,Tap Duqueco,Transnet,Switch,-72.3226488785,-37.5183536443,original
295,Mulchen,Conbun,Substation,-72.2546136989,-37.6815381718,original
296,Tap Off El Rosal,EMR,Tap-ed,-72.3494021888,-37.2484763637,original
297,Laja 1,EMR,Plant,-72.530612067,-37.2449261885,original
298,Yungay,Duke Energy,Plant,-72.2933104591,-37.1054882983,original
299,Abanico,Endesa,Plant,-71.4893944925,-37.3645526252,original
300,Celulosa Laja,CMPC Celulosa,Plant,-72.711388875,-37.2895275903,original
301,Renaico,Mainco,Plant,-72.4155448774,-37.8138355616,original
302,Lautaro,Comasa,Plant,-72.4674285287,-38.5418527419,original
303,Pillanlelbun,Transnet,Substation,-72.471618765,-38.6365352205,original
304,Temuco,Transelec,Substation,-72.5579484374,-38.7081581675,original
305,Celulosa Santa Fe,CMPC Celulosa,Plant,-72.6518888768,-37.5144443176,original
306,Celulosa Pacifico,CMPC Celulosa,Plant,-72.4841666404,-37.7917109799,original
307,Angostura,Colbun,Plant,-71.816859452,-37.710261844,original
308,Cautin,Transelec,Substation,-72.5416722483,-38.7227282058,original
309,Valdivia,Transelec,Substation,-73.1870007236,-39.799903008,original
310,Ciruelos,Transelec,Substation,-72.9115592755,-39.5500959614,original
311,Planta Valdivia,Celulosa Arauco,Plant,-72.9006995977,-39.5635484139,original
312,Calle Calle,Sagesa,Plant,-73.1890721243,-39.7999211791,original
313,Antilhue,Colbun,Plant,-73.1851765638,-39.8008711744,original
314,Osorno,STS,Tap-ed,-73.1137034735,-40.5681582345,original
315,Pilauco,STS,Tap-ed,-73.0823277809,-40.5743338958,original
316,Pilmaiquen,Electrica Panguipulli,Plant,-72.649672274,-40.6380952491,original
317,Rahue,Transelec,Switch,-72.9842271292,-40.6136933656,converted
318,Pichirrahue,Transrucatayo,Switch,-72.9479660865,-40.6272327445,converted
319,Rucatayo,Transrucatayo,Plant,-72.7038154419,-40.6191320288,original
320,Puerto Montt,Transelec,Substation,-72.9530820941,-41.4524387587,original
321,Antillanca,STS,Tap-ed,-72.7144979184,-40.6178577518,original
322,Lican,EE Lican,Plant,-72.401399818,-40.6180008868,original
323,Capullo,Capullo,Plant,-72.3999407496,-40.8191914428,original
324,Rio Bonito,STS,Tap-ed,-72.4095947453,-40.9093785262,original
325,Nalcas,Hidronalcas,Plant,-72.3400681442,-40.8951839075,original
326,Callao,Hidronalcas,Plant,-72.3382021868,-40.8878451543,original
327,Chuyaca,Sagesa,Plant,-73.088412642,-40.5786454473,original
328,Chiloe,STS,Substation,-73.7117467669,-42.1434627689,original
329,Degan,STS,Substation,-73.7126285964,-42.1414746399,original
330,Degan,Unknown,Plant,-73.713077754,-42.1418076851,converted
331,Quellón,STS,Plant,-73.6142934474,-43.0913296312,original
332,Chonchi,STS,Substation,-73.8040191854,-42.6240069158,original
333,Canutillar,Colbun,Plant,-72.3416577885,-41.5280512093,original
334,Ancud,STS,Substation,-73.7955423614,-41.8771592029,original
335,San Andres,H San Andres,Plant,-70.3825410332,-34.7346591851,original
336,Pid Pid,STS,Substation,-73.7712334578,-42.4115975853,original
337,Eolica Cuel,Parque Eolico Negrete,Plant,-72.493707999,-37.5107242332,original
338,Santa Rosa,Transnet,Substation,-71.3120898363,-33.9897436305,original
339,El Totoral (PMG),Tecnored,Plant,-71.6368780538,-33.4274216112,original
340,Escuadron,Nueva Energia,Plant,-73.1556055454,-36.9349887421,original
341,Los Maitenes,Anglo American Sur,Tap-ed,-70.3578780214,-33.3048672161,original
342,Guayacán,E Coyanco,Plant,-70.3596616977,-33.6026817595,original
343,Solar Loma Los Colorados,KDM,Plant,-70.804346514,-32.9556867229,original
344,Los Molles,Endesa,Plant,-70.5875061431,-30.7446622086,original
345,Mariposas,Hidrolircay,Plant,-71.2641676839,-35.5960523718,original
346,Trapen,Enlasa,Plant,-73.0768276005,-41.517726814,original
347,Newen,Gas Sur,Plant,-73.1127298517,-36.7754880657,original
